Outer_iter,Outer_Success,MinDisToGoal
0,0.03,0.2614294563518688
1,0.03,0.23755294272181476
2,0.03,0.24048797984153425
3,0.03,0.22191932953353724
4,0.04,0.2341904139328214
5,0.1,0.24339850775926716
6,0.1,0.24876960878876847
7,0.1,0.2026560347534545
8,0.1,0.23533846754619414
9,0.1,0.24356403779088687
10,0.1,0.24132842220330922
11,0.1,0.23674935916112838
12,0.1,0.24754392200867542
13,0.1,0.22142188213390956
14,0.1,0.23307991176980475
15,0.1,0.218764590309578
16,0.1,0.23179041787742893
17,0.1,0.232265867607412
18,0.1,0.238758781406787
19,0.1,0.23850237222458887
20,0.1,0.23437202178135627
21,0.1,0.26022636845876573
22,0.1,0.23667153420518855
23,0.1,0.23506714481909138
24,0.1,0.24693516644372637
25,0.1,0.22665430448180085
26,0.1,0.22750583307805422
27,0.1,0.21923163183503466
28,0.1,0.24472676200682927
29,0.1,0.22903884846678313
30,0.1,0.2291489958965587
31,0.1,0.23638652161672077
32,0.1,0.23912525958904712
33,0.1,0.21821188168129207
34,0.1,0.2241004959234311
35,0.1,0.23699024815922923
36,0.1,0.23669782465669756
37,0.1,0.24373436586152442
38,0.1,0.2324952100683567
39,0.1,0.19973281858035527
40,0.1,0.2172273578220516
41,0.1,0.232882785527898
42,0.1,0.20295533969749127
43,0.16,0.20780362587226012
44,0.17,0.23045080889471722
45,0.17,0.20193844764061716
46,0.17,0.19234081415443846
47,0.17,0.17235278193113518
48,0.25,0.16991783250558534
49,0.25,0.2039801596913796
50,0.25,0.1939721591165549
51,0.25,0.2054938916337554
52,0.25,0.17108789270141905
53,0.3,0.1952636908679075
54,0.3,0.19803572787377133
55,0.3,0.1827226696096292
56,0.3,0.1860100361062591
57,0.35,0.17006217142704677
58,0.35,0.18082162933586
59,0.35,0.15884185686722338
60,0.37,0.17765896402952222
61,0.37,0.1874446023773574
62,0.37,0.1609619648963671
63,0.37,0.1675578555200841
64,0.37,0.14889813442684496
65,0.37,0.18792830303225658
66,0.37,0.16113094787413182
67,0.39,0.164886467815757
68,0.39,0.1707386396872771
69,0.39,0.16010097244615767
70,0.39,0.15385391372341473
71,0.43,0.14828713151497544
72,0.43,0.1902492145067143
73,0.43,0.1794540244362562
74,0.43,0.1405921354388386
75,0.43,0.14474024595014973
76,0.43,0.15888137541961342
77,0.43,0.17863463512298594
78,0.43,0.16073119041916226
79,0.43,0.17773479324638558
80,0.43,0.13894975512421198
81,0.44,0.13524906155079658
82,0.48,0.15869102803721608
83,0.48,0.16676347603637626
84,0.48,0.16153172575577476
85,0.48,0.14483096464537445
86,0.48,0.15251667199012237
87,0.48,0.1510807326131599
88,0.48,0.15453293603269658
89,0.48,0.14496021200890097
90,0.48,0.176790476007315
91,0.48,0.15857958754345577
92,0.48,0.1597802741997066
93,0.48,0.16250294300512805
94,0.48,0.15954139839619075
95,0.48,0.12109352487091392
96,0.5,0.16347301547312937
97,0.5,0.16251766054827296
98,0.5,0.16174559059231672
99,0.5,0.14523044150684655
100,0.51,0.16614974034365373
101,0.51,0.17367446451877144
102,0.51,0.1563920787330169
103,0.51,0.1525280861485016
104,0.51,0.17525306588597153
105,0.51,0.14574061313509673
106,0.51,0.15960909371231147
107,0.51,0.1488346372181238
108,0.51,0.18837422883236293
109,0.51,0.1798391099911537
110,0.51,0.15002136255467374
111,0.51,0.15164357063845046
112,0.51,0.15420851388933762
113,0.51,0.18011572509935558
114,0.51,0.1749272502164528
115,0.51,0.16206973217483941
116,0.51,0.16911686382586974
117,0.51,0.18561410161201763
118,0.51,0.1563660960447171
119,0.51,0.1790957176902235
120,0.51,0.16956631495117477
121,0.51,0.16268257695158386
122,0.51,0.1836034469282539
123,0.51,0.1702608380519195
124,0.51,0.15188805130554706
125,0.51,0.15430326369270964
126,0.51,0.14173356533793136
127,0.51,0.18944667355353204
128,0.51,0.15081642325788003
129,0.51,0.17694775911303717
130,0.51,0.14441937782007241
131,0.51,0.1647587688564786
132,0.51,0.17154011581786058
133,0.51,0.17200771852048446
134,0.51,0.18860826562278482
135,0.51,0.16632302696885948
136,0.51,0.1396342667358256
137,0.52,0.15557230224251797
138,0.52,0.1605064360353461
139,0.52,0.12166968278526978
140,0.52,0.10702650682283404
141,0.59,0.1501725451856975
142,0.59,0.15620176707428401
143,0.59,0.18731630853928416
144,0.59,0.14962549883362322
145,0.59,0.16035415975667505
146,0.59,0.1515887377487579
147,0.59,0.17730192963583613
148,0.59,0.13090430220188998
149,0.59,0.16283197652079784
150,0.59,0.14500710832459332
151,0.59,0.15504360824722938
152,0.59,0.15237740097052868
153,0.59,0.16970106472610944
154,0.59,0.161082385485572
155,0.59,0.14152068244244506
156,0.59,0.150068156296892
157,0.59,0.14210086686039344
158,0.59,0.15886260858346976
159,0.59,0.1376440499833271
160,0.59,0.17535938280858815
161,0.59,0.1447490616622059
162,0.59,0.15249786631744253
163,0.59,0.12934705220595163
164,0.59,0.1606394564280872
165,0.59,0.14427423558733704
166,0.59,0.16612035754251417
167,0.59,0.1404377481549739
168,0.59,0.1360149649714323
169,0.59,0.16986027426151787
170,0.59,0.15899212944125007
171,0.59,0.13823019572075165
172,0.59,0.14370056549919707
173,0.59,0.14521177632436
174,0.59,0.14831349133832455
175,0.59,0.17974036984140018
176,0.59,0.17537586312137843
177,0.59,0.17175776283608354
178,0.59,0.165494940092531
179,0.59,0.11739820190825574
180,0.59,0.14147512228501583
181,0.59,0.17343058345237952
182,0.59,0.15694470651053144
183,0.59,0.19197166325189788
184,0.59,0.11937467789891905
185,0.61,0.1270508353608892
186,0.61,0.14816671201402584
187,0.61,0.14963522148158964
188,0.61,0.16917566068406745
189,0.61,0.17657647130265477
190,0.61,0.13678149647189666
191,0.61,0.13237500350838166
192,0.61,0.15360300912038308
193,0.61,0.14705178999800605
194,0.61,0.17172653398412202
195,0.61,0.15057587478770085
196,0.61,0.17581739176579605
197,0.61,0.15986808018355375
198,0.61,0.14927996124010576
199,0.61,0.1752281850532857
200,0.61,0.1732025163596949
201,0.61,0.15371095293870707
202,0.61,0.17829430749337427
203,0.61,0.14234469441263117
204,0.61,0.1332519423168609
205,0.61,0.15941405303091316
206,0.61,0.16464333414475502
207,0.61,0.15968327907290955
208,0.61,0.14444246199140784
209,0.61,0.12906006696470348
210,0.61,0.15908819154033785
211,0.61,0.16218273458973612
212,0.61,0.11948885550280561
213,0.61,0.14009069151034906
214,0.61,0.12475613100394126
215,0.61,0.1374081720730203
216,0.61,0.13022743164968062
217,0.61,0.1592379714122656
218,0.61,0.14401608694540216
219,0.61,0.15419987988712086
220,0.61,0.17246441702800172
221,0.61,0.13745254532654735
222,0.61,0.16588491028138716
223,0.61,0.17002643881725887
224,0.61,0.13423516103371674
225,0.61,0.13616388445398458
226,0.61,0.13357163617694015
227,0.61,0.1236558347279977
228,0.61,0.16137615769028987
229,0.61,0.1388470537468707
230,0.61,0.10764359462749741
231,0.61,0.14106265999607853
232,0.61,0.12784920532119426
233,0.61,0.12452064603552665
234,0.61,0.14510255976912648
235,0.61,0.12326182056851948
236,0.61,0.13679477309102325
237,0.61,0.16210633696304913
238,0.61,0.19454904349175384
239,0.61,0.15738697346194383
240,0.61,0.1235238332433701
241,0.61,0.13989144731216188
242,0.61,0.13831740043556548
243,0.61,0.1573393446498047
244,0.61,0.15230745087335998
245,0.61,0.14163804419327217
246,0.61,0.12700266056767648
247,0.61,0.11972408323875657
248,0.63,0.13711834180889276
249,0.63,0.13712687555590874
250,0.63,0.15964455326230645
251,0.63,0.1540825113992106
252,0.63,0.14418569281347998
253,0.63,0.1268319633197218
254,0.63,0.12527700621141424
255,0.63,0.1208871465878848
256,0.63,0.10461891128952454
257,0.63,0.1199316220914925
258,0.63,0.09929230611486405
259,0.63,0.1100292574004346
260,0.63,0.1357079905118624
261,0.63,0.11251524114493731
262,0.63,0.10111349978077565
263,0.63,0.13403757833077148
264,0.63,0.08969961727655389
265,0.65,0.10948243794951497
266,0.65,0.08198755348639765
267,0.65,0.10086324362697299
268,0.65,0.11348968311611002
269,0.65,0.11048430366968938
270,0.65,0.09174877044803113
271,0.65,0.11230755484249082
272,0.65,0.09472146323166712
273,0.65,0.08413975362835142
274,0.65,0.09061437008354434
275,0.65,0.08536219772468502
276,0.65,0.08933111968890918
277,0.65,0.11014490945203216
278,0.65,0.09432817394198603
279,0.65,0.09413248683776212
280,0.65,0.08727697670332724
281,0.65,0.08211985984585458
282,0.65,0.07702778529270518
283,0.65,0.08460036764682907
284,0.65,0.07074024824717788
285,0.65,0.09644134288653548
286,0.65,0.06099604255068762
287,0.66,0.06893334116095057
288,0.66,0.0668128126561261
289,0.66,0.06502415427151458
290,0.7,0.07293416218406823
291,0.7,0.073419376256496
292,0.7,0.07874605700368682
293,0.7,0.06734566511784609
294,0.7,0.07116554593210514
295,0.7,0.09081518752988214
296,0.7,0.061374177337074516
297,0.72,0.0874919108756517
298,0.72,0.037939852483451574
299,0.76,0.05966818861526853
300,0.78,0.06315981421034661
301,0.78,0.03980142110597166
302,0.83,0.05373005738583541
303,0.83,0.05196301024437818
304,0.83,0.05834837274046135
305,0.83,0.08115465762155308
306,0.83,0.06332105370081766
307,0.83,0.07980003364971465
308,0.83,0.053958316535601056
309,0.83,0.04547045144295562
310,0.83,0.06190943545889669
311,0.83,0.058386487535898146
312,0.83,0.0636024167929749
313,0.83,0.052696708095896196
314,0.83,0.06252571960968312
315,0.83,0.062382914681932695
316,0.83,0.04927330417919748
317,0.83,0.11048952757064184
318,0.83,0.044180801203822985
319,0.84,0.052664596019108216
320,0.84,0.0311673535750807
321,0.89,0.03633640460503302
322,0.89,0.057693563764471725
323,0.89,0.05059276961702194
324,0.89,0.038826201121522616
325,0.89,0.05384700418288639
326,0.89,0.05675215128941215
327,0.89,0.03083893637895902
328,0.89,0.06126286630899856
329,0.89,0.07461570193342829
330,0.89,0.04355591393782175
331,0.89,0.08068076902331246
332,0.89,0.0781062808722852
333,0.89,0.03573382528931333
334,0.89,0.059749291851094774
335,0.89,0.04784097429426164
336,0.89,0.05962780820629453
337,0.89,0.0582097738098717
338,0.89,0.045041866629279274
339,0.89,0.04799188041013892
340,0.89,0.04699628177504168
341,0.89,0.04198725021479836
342,0.89,0.045319122855232166
343,0.89,0.05112594777978836
344,0.89,0.058948539394754154
345,0.89,0.0437235375165276
346,0.89,0.029870453705896374
347,0.89,0.03424502685317992
348,0.89,0.030477948038306404
349,0.89,0.034044293577080095
350,0.89,0.03427435896471101
351,0.89,0.02483499040228907
352,0.9,0.045694581555568235
353,0.9,0.03761429285452075
354,0.9,0.027185402518061497
355,0.93,0.029799126163450037
356,0.93,0.031875796785488554
357,0.93,0.032371669691556026
358,0.93,0.029087141831713997
359,0.93,0.029355054899148643
360,0.93,0.033386346615708946
361,0.93,0.04512540504706574
362,0.93,0.027092021580288516
363,0.93,0.036169040330261804
364,0.93,0.022133868323191527
365,0.94,0.022811551680870786
366,0.95,0.027822341152859267
367,0.95,0.01844408664888157
368,0.95,0.05266968357564844
369,0.95,0.02181224424795598
370,0.95,0.027029877026571038
371,0.95,0.017579613786442523
372,0.96,0.02477603288526058
373,0.96,0.027575660258608806
374,0.96,0.012640702413349586
375,0.97,0.03132220926848857
376,0.97,0.022851000654497584
377,0.97,0.018280177173662676
378,0.97,0.019464954825307818
379,0.97,0.020235236059372365
380,0.97,0.019217380506684
381,0.97,0.017989550625389806
382,0.97,0.01980073111071515
383,0.97,0.01625601416641116
384,0.97,0.01793289030238631
385,0.97,0.03243250203412825
386,0.97,0.014875688859574345
387,0.97,0.013710433966875171
388,0.97,0.012264014294459877
389,0.98,0.028955568474930308
390,0.98,0.012711010511280478
391,0.98,0.02522694615881863
392,0.98,0.02204942878215602
393,0.98,0.019754300966653208
394,0.98,0.022175777236725747
395,0.98,0.023583445240922294
396,0.98,0.014238552102001588
397,0.98,0.010173409538969764
398,0.99,0.023191780910280037
399,0.99,0.02569062207936916
400,0.99,0.014876530977659997
401,0.99,0.015747208120415964
402,0.99,0.011244145270637197
403,0.99,0.008083660106591235
404,0.99,0.014048556500225726
405,0.99,0.013832404434864744
406,0.99,0.013894780553559494
407,0.99,0.021901643497726036
408,0.99,0.013197752209900165
409,0.99,0.014294941565369168
410,0.99,0.013202856086185856
411,0.99,0.011825710215313796
412,0.99,0.01420428208921414
413,0.99,0.00785998203649909
414,0.99,0.009806462744191969
415,0.99,0.008717409850029317
416,1.0,0.015966756150199372
417,1.0,0.008240725154666215
418,1.0,0.007279943403125099
419,1.0,0.016950413599240953
420,1.0,0.008322093734410103
421,1.0,0.008033185729771434
422,1.0,0.016673188520892418
423,1.0,0.011740542200243963
424,1.0,0.00862070181102814
425,1.0,0.015375377531800538
426,1.0,0.006513026924175233
427,1.0,0.008941756586359338
428,1.0,0.011154231941690972
429,1.0,0.014257214823611628
430,1.0,0.010599496734001403
431,1.0,0.008046486402450906
432,1.0,0.010937810494107202
433,1.0,0.008997070173928623
434,1.0,0.008839111681809796
435,1.0,0.014081400428887447
436,1.0,0.012386452339879854
437,1.0,0.008098983302667364
438,1.0,0.00886493743453554
439,1.0,0.0122751392683121
440,1.0,0.008676984126715213
441,1.0,0.010112993491139845
442,1.0,0.009980051570181248
443,1.0,0.007981485970658378
444,1.0,0.006072253438118835
445,1.0,0.00847623876990763
446,1.0,0.00933546191665243
447,1.0,0.007977214335399196
448,1.0,0.006296093407250201
449,1.0,0.006078672457263495
450,1.0,0.005753433302554839
451,1.0,0.006095563523159105
452,1.0,0.010232579603484043
453,1.0,0.007333804614665782
454,1.0,0.008717926275249723
455,1.0,0.01124951905207831
456,1.0,0.01265792024019064
457,1.0,0.019466883221246428
458,1.0,0.007645401931440928
459,1.0,0.0058830947835819
460,1.0,0.01297243648597743
461,1.0,0.0051416823311256354
462,1.0,0.0048452829651872385
463,1.0,0.009974286122260603
464,1.0,0.011952496939121683
465,1.0,0.008676854796180564
466,1.0,0.017740949746542937
467,1.0,0.007800501093286739
468,1.0,0.005057220525200884
469,1.0,0.010064801008614486
470,1.0,0.006838933863655134
471,1.0,0.007944109168459331
472,1.0,0.007055364995171367
473,1.0,0.0047251998372980315
474,1.0,0.004071900051395124
475,1.0,0.008384443309083523
476,1.0,0.0058243753752286265
477,1.0,0.0073855303413013895
478,1.0,0.011646377141704443
479,1.0,0.010396464555848382
480,1.0,0.006148407244849317
481,1.0,0.0062622036211698925
482,1.0,0.005906586704466493
483,1.0,0.005974899395369481
484,1.0,0.008536985761756422
485,1.0,0.006911983690227264
486,1.0,0.004519327428016499
487,1.0,0.005717898480978228
488,1.0,0.0064349795746639574
489,1.0,0.007736422323831062
490,1.0,0.007432628450811475
491,1.0,0.006054808616317627
492,1.0,0.007340342690982532
493,1.0,0.010078131557411996
494,1.0,0.005709760163841753
495,1.0,0.009771695024335234
496,1.0,0.010057691272733805
497,1.0,0.005806279959847389
498,1.0,0.004133367715319264
499,1.0,0.0044079269410942715
500,1.0,0.004301882396972164
501,1.0,0.004851595060876058
502,1.0,0.0039245940557606045
503,1.0,0.005751273355554237
504,1.0,0.006576025667079236
505,1.0,0.003791237623280492
506,1.0,0.012182995462031528
507,1.0,0.006504632743395864
508,1.0,0.004912276993234029
509,1.0,0.004295526788126167
510,1.0,0.0051592753963548895
511,1.0,0.0058873095780686835
512,1.0,0.004162089344825712
513,1.0,0.006946175638286798
514,1.0,0.00970172647641387
515,1.0,0.004707679885625867
516,1.0,0.00445189799858212
517,1.0,0.005026970111840759
518,1.0,0.0073840126692800035
519,1.0,0.004057062190687633
520,1.0,0.005111824058909368
521,1.0,0.009298948869408456
522,1.0,0.011090703226871836
523,1.0,0.00502347164472825
524,1.0,0.012515780443879193
525,1.0,0.015577371124703998
526,1.0,0.010924193712772154
527,1.0,0.004183188682766725
528,1.0,0.004100186536398689
529,1.0,0.00949481017777374
530,1.0,0.011855571495527384
531,1.0,0.008877655706349236
532,1.0,0.006458269267199112
533,1.0,0.013210984537468197
534,1.0,0.00535215298990121
535,1.0,0.004732935352451745
536,1.0,0.003773858535065911
537,1.0,0.008258671292277678
538,1.0,0.006515490128410393
539,1.0,0.005948190424845923
540,1.0,0.006940732611179358
541,1.0,0.004734461880691324
542,1.0,0.007235549854787032
543,1.0,0.006304768563174723
544,1.0,0.011139913497278872
545,1.0,0.008402807065788949
546,1.0,0.00752953312388303
547,1.0,0.007085858911608527
548,1.0,0.008648524788234203
549,1.0,0.008684064972137
550,1.0,0.0040676361392560315
551,1.0,0.007300660494811615
552,1.0,0.009291420854622987
553,1.0,0.013697167486272034
554,1.0,0.010776461503034088
555,1.0,0.00826665650065151
556,1.0,0.006798844713058873
557,1.0,0.008524296378156056
558,1.0,0.003477701317547686
559,1.0,0.007977715703428251
560,1.0,0.0036024422692361685
561,1.0,0.007344665181598669
562,1.0,0.004128503466242102
563,1.0,0.0030013812987501292
564,1.0,0.005154554317420032
565,1.0,0.005421535875509893
566,1.0,0.00951125736073682
567,1.0,0.008253389517891077
568,1.0,0.004053663609810675
569,1.0,0.0035837234546487167
570,1.0,0.00311457386180576
571,1.0,0.005992116188491553
572,1.0,0.005533010563373613
573,1.0,0.009345980042550793
574,1.0,0.006180484488176486
575,1.0,0.005220831869253313
576,1.0,0.0038092049824347235
577,1.0,0.005651098559681143
578,1.0,0.003700895870177646
579,1.0,0.0026995908375982286
580,1.0,0.0099804264605195
581,1.0,0.006055062412039675
582,1.0,0.002452125181257575
583,1.0,0.005867132509522424
584,1.0,0.004674219453047793
585,1.0,0.00484613950419792
586,1.0,0.0031399301159700317
587,1.0,0.005822422997805756
588,1.0,0.002571342643849642
589,1.0,0.009436678018966041
590,1.0,0.005047591385541592
591,1.0,0.0023289647301187565
592,1.0,0.00796010117313474
593,1.0,0.007273200430798309
594,1.0,0.009897634868659338
595,1.0,0.003239286770652671
596,1.0,0.006334702327221977
597,1.0,0.005615974066753495
598,1.0,0.005578733255300562
599,1.0,0.007099308684956187
600,1.0,0.006903534299208417
601,1.0,0.003982213123094198
602,1.0,0.010248486593377298
603,1.0,0.0037279218391206743
604,1.0,0.007714856362620034
605,1.0,0.00350131223699078
606,1.0,0.0063270505633309
607,1.0,0.0031606360076909122
608,1.0,0.007590981007396973
609,1.0,0.004394348180302036
610,1.0,0.012935747911792457
611,1.0,0.005536090472998234
612,1.0,0.004348621973994593
613,1.0,0.007384648526703489
614,1.0,0.004656427329754109
615,1.0,0.003632276123599963
616,1.0,0.011946770333263168
617,1.0,0.00566439912414175
618,1.0,0.00305215534589564
619,1.0,0.004080250153615929
620,1.0,0.004938955091055178
621,1.0,0.0046846679227722935
622,1.0,0.004095347771741404
623,1.0,0.005331618487306092
624,1.0,0.0036189242215281096
625,1.0,0.006125259493132647
626,1.0,0.004624815151071208
627,1.0,0.007158462867503843
628,1.0,0.0021002729212351405
629,1.0,0.004038363100857281
630,1.0,0.006135202382043701
631,1.0,0.007857540045399247
632,1.0,0.002728137146555535
633,1.0,0.008651399861319247
634,1.0,0.0084457496952033
635,1.0,0.00756978166960359
636,1.0,0.007028124518899268
637,1.0,0.007869530853326706
638,1.0,0.006300478074528038
639,1.0,0.0034582349767375647
640,1.0,0.0031692864297701946
641,1.0,0.00353290613970962
642,1.0,0.003867429596942365
643,1.0,0.007713714664937335
644,1.0,0.0030012273365622767
645,1.0,0.00534747578025874
646,1.0,0.008627326099782675
647,1.0,0.011048891185231615
648,1.0,0.008766775336607918
649,1.0,0.008393260566438514
650,1.0,0.001989249432260625
651,1.0,0.0038610289807700007
652,1.0,0.0073463073813304185
653,1.0,0.0104768768445122
654,1.0,0.003832570033271748
655,1.0,0.003056340973101818
656,1.0,0.006123977644585653
657,1.0,0.0024780103757781483
658,1.0,0.0031244395441715382
659,1.0,0.0036378967293921394
660,1.0,0.008079564732603947
661,1.0,0.002518857405131804
662,1.0,0.0032414815229543387
663,1.0,0.0024689406159632355
664,1.0,0.00888604930355912
665,1.0,0.0028803543011614086
666,1.0,0.0030436968545504424
667,1.0,0.0023973062934325344
668,1.0,0.011127042623065306
669,1.0,0.003372772501980883
670,1.0,0.004927581352038853
671,1.0,0.003718336517208805
672,1.0,0.002444982768189747
673,1.0,0.006754951319958549
674,1.0,0.0021170485222418273
675,1.0,0.0019807182687906623
676,1.0,0.004522253017480494
677,1.0,0.0024493017597398263
678,1.0,0.0028603637217731307
679,1.0,0.002356242231216166
680,1.0,0.0030012525328288148
681,1.0,0.004405937238752173
682,1.0,0.0026949529223960437
